2025-02-07 13:10:15,114 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_16vsb5ni_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_16vsb5ni', '--psm', '6', 'txt']
2025-02-07 13:10:15,936 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_5v5gobi7_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_5v5gobi7', '--psm', '6', 'txt']
2025-02-07 13:37:43,418 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_t3ul2hqa_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_t3ul2hqa', '--psm', '6', 'txt']
2025-02-07 13:37:44,102 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_doqlprct_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_doqlprct', '--psm', '6', 'txt']
2025-02-07 14:20:18,147 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_w7gpryd6_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_w7gpryd6', '--psm', '6', 'txt']
2025-02-07 14:20:23,116 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess__zz45a3r_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess__zz45a3r', '--psm', '6', 'txt']
2025-02-07 14:35:00,592 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_u8yqnhqy_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_u8yqnhqy', '--psm', '6', 'txt']
2025-02-07 14:35:01,450 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_ezp7_n22_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_ezp7_n22', '--psm', '6', 'txt']
2025-02-07 14:40:05,218 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess__ncxbt7l_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess__ncxbt7l', '--psm', '6', 'txt']
2025-02-07 14:40:06,026 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_s3kuuyiq_input.PPM', 'C:\\Users\\vanda\\AppData\\Local\\Temp\\tess_s3kuuyiq', '--psm', '6', 'txt']
2025-02-08 16:51:44,473 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_88r_vw6h_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_88r_vw6h', '--psm', '6', 'txt']
2025-02-08 18:03:56,620 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_3o2ofu5c_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_3o2ofu5c', '--psm', '6', 'txt']
2025-02-08 18:33:36,062 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_7906j_ps_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_7906j_ps', '--psm', '6', 'txt']
2025-02-08 18:33:36,701 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_tuo3fd_o_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_tuo3fd_o', '--psm', '6', 'txt']
2025-02-08 18:36:39,794 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_qlr1n_2u_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_qlr1n_2u', '--psm', '6', 'txt']
2025-02-08 18:36:40,543 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_tjelpeet_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_tjelpeet', '--psm', '6', 'txt']
2025-02-08 18:38:34,374 - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_0s8x6hsc_input.PPM', 'C:\\Users\\hp\\AppData\\Local\\Temp\\tess_0s8x6hsc', '--psm', '6', 'txt']
